Clube,Player,age,Position_Num,Height,Taxa_Transferencia,Value_Num,fb_Mn/MP,fb_PPM,fb_+/-,fb_xG+/-,Dum_MC,age_centered,age_sq,ln_Value_Num,pos_rnc,pts_rnc,cluster
spfc,Oscar,33.0,7.0,1.8,0,3500000.0,58.0,1.17,-2.0,1.2,1,4.04561403508772,16.366992920898742,15.068273526459642,16,12396,1.0
sport,Christian Rivera,29.0,5.0,1.85,2900000,3000000.0,81.0,0.47,-17.0,-9.2,1,0.0456140350877198,0.0020806401969837,14.914122846632385,17,11623,1.0
sport,Lucas Lima,35.0,7.0,1.76,0,500000.0,79.0,0.53,-9.0,-5.2,1,6.04561403508772,36.549449061249625,13.122363377404328,17,11623,0.0
vasco,Juan Sforza,23.0,5.0,1.79,4600000,3000000.0,36.0,0.0,-1.0,-0.1,1,-5.95438596491228,35.45471221914435,14.914122846632385,18,10871,1.0
vasco,Thiago Mendes,33.0,5.0,1.77,0,3000000.0,33.0,1.0,-4.0,-1.1,1,4.04561403508772,16.366992920898742,14.914122846632385,18,10871,1.0
vasco,Jair,31.0,5.0,1.78,2650000,2500000.0,53.0,1.0,2.0,-0.7,1,2.04561403508772,4.184536780547863,14.73180128983843,18,10871,1.0
vasco,Hugo Moura,27.0,5.0,1.77,2000000,1800000.0,80.0,1.0,3.0,-3.1,1,-1.95438596491228,3.819624499846104,14.403297222866392,18,10871,1.0
vasco,Philippe Coutinho,33.0,7.0,1.72,0,4500000.0,78.0,1.21,5.0,1.4,1,4.04561403508772,16.366992920898742,15.319587954740548,18,10871,1.0
vitoria,Ismael,26.0,5.0,1.84,0,1500000.0,18.0,1.0,-1.0,-0.1,1,-2.95438596491228,8.728396429670665,14.22097566607244,19,11187,1.0
vitoria,Ronald,28.0,5.0,1.71,0,700000.0,68.0,0.94,-9.0,-7.2,1,-0.95438596491228,0.910852570021544,13.458835614025542,19,11187,1.0
vitoria,Aitor Cantalapiedra,29.0,7.0,1.77,0,1800000.0,52.0,0.33,-6.0,-2.3,1,0.0456140350877198,0.0020806401969837,14.403297222866392,19,11187,1.0
internacional,Alan Patrick,34.0,7.0,1.77,2000000,3000000.0,83.0,1.57,5.0,6.7,1,5.04561403508772,25.45822099107418,14.914122846632385,20,9130,1.0
internacional,Bruno Henrique,35.0,6.0,1.8,0,400000.0,60.0,1.47,-1.0,4.0,1,6.04561403508772,36.549449061249625,12.89921982609012,20,9130,0.0
internacional,Bruno Tabata,28.0,8.0,1.75,2200000,2000000.0,49.0,1.25,-2.0,5.0,1,-0.95438596491228,0.910852570021544,14.50865773852422,20,9130,1.0
